hsr_value,code,product_name,brands,categories,categories_tags,labels,labels_tags,countries,nutriscore_grade,nova_group,energy-kj_100g,energy_100g,carbohydrates_100g,sugars_100g,fat_100g,saturated-fat_100g,proteins_100g,fiber_100g,salt_100g,sodium_100g,energy_kj_100g,sugar_energy_ratio,category_primary
1.5,9310645216409,,Coles,"Condiments, Sauces, Mayonnaises, Groceries",en:condiments|en:sauces|en:mayonnaises|en:groceries,"Australian made, Health Star Rating, Health Star Rating 1.5",en:australian-made|en:health-star-rating|en:health-star-rating-1-5,Australia,d,,,2251.0,9.9,7.4,56.0,3.9,1.0,,0.66,0.264,2251.0,0.0032874278098622835,condiments
1.5,9310015248788,Twisties cheese 90g,Twisties,fr:chips,en:snacks|en:salty-snacks|en:appetizers|en:chips-and-fries|en:crisps,"Health Star Rating,Health Star Rating 1.5",en:health-star-rating|en:health-star-rating-1-5,Australia,d,4.0,,2080.0,65.6,4.07,22.6,1.85,7.04,1.11,2.17,0.867,2080.0,0.001956730769230769,snacks
1.5,9300633680572,Butter croissants,Woolworths,"Snacks, Sweet snacks, Viennoiseries, Croissants, Butter croissants",en:snacks|en:sweet-snacks|en:sweet-pastries-and-pies|en:viennoiseries|en:croissants|en:butter-croissants,"Australian made, Health Star Rating, Health Star Rating 1.5",en:australian-made|en:health-star-rating|en:health-star-rating-1-5,en:au,e,,,1510.0,43.2,6.83,16.3,10.8,8.73,2.06,0.925,0.37,1510.0,0.00452317880794702,snacks
1.5,9310645110813,Apple fruit juice,Coles,,,"Vegetarian, Vegan, Australian made, Health Star Rating, Health Star Rating 1.5",en:vegetarian|en:vegan|en:australian-made|en:health-star-rating|en:health-star-rating-1-5,en:Australia,unknown,4.0,,152.0,8.6,8.12,0.4,0.4,0.0,0.4,,,152.0,0.053421052631578946,
1.5,9310015243653,TWISTIES CHEESE 270GM,Smith,fr:chips,en:snacks|en:salty-snacks|en:appetizers|en:chips-and-fries|en:crisps,"Health Star Rating,Health Star Rating 1.5",en:health-star-rating|en:health-star-rating-1-5,Australia,d,4.0,2093.0,2093.0,64.1,5.4,23.0,2.0,7.0,0.0,2.105,0.842,2093.0,0.0025800286669851887,snacks
1.5,9300633928841,Butter Croissants,Woolworths,"Snacks, Sweet snacks, Viennoiseries, Croissants, Butter croissants",en:snacks|en:sweet-snacks|en:sweet-pastries-and-pies|en:viennoiseries|en:croissants|en:butter-croissants,"Health Star Rating, Health Star Rating 1.5, Australianmade",en:health-star-rating|en:health-star-rating-1-5|en:australianmade,en:au,e,,,1540.0,44.3,6.81,17.0,11.3,8.51,2.13,0.941,0.377,1540.0,0.004422077922077922,snacks
1.5,9310015226700,Zig Zag Wicked Cheddar,Zig zag,,,"Health Star Rating, Health Star Rating 1.5",en:health-star-rating|en:health-star-rating-1-5,en:au,unknown,,,2360.0,50.6,2.7,37.7,3.0,5.4,,2.52,1.01,2360.0,0.0011440677966101697,
1.5,9300633420024,Fruit mince pies,Woolworths,,,"Vegetarian, Health Star Rating, Health Star Rating 1.5",en:vegetarian|en:health-star-rating|en:health-star-rating-1-5,en:Australia,unknown,4.0,,1707.0,65.6,36.0,14.0,7.0,4.6,,0.625,0.25,1707.0,0.0210896309314587,
1.5,9300601393763,Croissant,Coles,"Snacks, Sweet snacks, Viennoiseries, Croissants, Filled croissants, Croissant filled with cream",en:snacks|en:sweet-snacks|en:sweet-pastries-and-pies|en:viennoiseries|en:croissants|en:filled-croissants|en:croissant-filled-with-cream,"Australian made, Health Star Rating, Health Star Rating 1.5, en:no-artificial-colours-or-flavours",en:no-artificial-flavors|en:australian-made|en:health-star-rating|en:health-star-rating-1-5|en:no-artificial-colors|en:no-artificial-colours-or-flavours,Australia,e,4.0,1640.0,1640.0,48.809523809524,10.0,17.380952380952,12.142857142857,8.8095238095238,2.6190476190476,1.047619047619,0.4190476190476,1640.0,0.006097560975609756,snacks
1.5,9310072001746,Arnott's Raspberry Shortcake 250G,Arnott's,,,"Australian made, Health Star Rating, Health Star Rating 1.5",en:australian-made|en:health-star-rating|en:health-star-rating-1-5,"France, en:australia",unknown,4.0,,1850.0,66.7,31.4,17.3,8.97,0.0,,0.433,0.173,1850.0,0.016972972972972972,
1.5,9310015243882,Party bag burger rings,Burger Rings,fr:chips,en:snacks|en:salty-snacks|en:appetizers|en:chips-and-fries|en:crisps,"Health Star Rating,Health Star Rating 1.5",en:health-star-rating|en:health-star-rating-1-5,Australia,d,4.0,,2110.0,59.5,2.5,25.6,1.9,7.1,3.5,2.3925,0.957,2110.0,0.001184834123222749,snacks
1.5,9339687089895,Free from gluten choc chip mini cookies,Woolworths,,,"Health Star Rating, Health Star Rating 1.5",en:health-star-rating|en:health-star-rating-1-5,en:Australia,unknown,4.0,,2060.0,58.4,24.0,26.0,9.2,5.2,3.2,0.48,0.192,2060.0,0.011650485436893204,
1.5,9310645322544,Coconut milk,Coles,"Plant-based foods and beverages, Beverages, Plant-based foods, Dairy substitutes, Milk substitutes, Plant-based beverages, Plant-based milk alternatives, Plant-based creams, Plant-based creams for cooking, Coconut milks and creams",en:plant-based-foods-and-beverages|en:beverages|en:plant-based-foods|en:dairy-substitutes|en:milk-substitutes|en:plant-based-beverages|en:plant-based-milk-alternatives|en:plant-based-creams|en:plant-based-creams-for-cooking|en:coconut-milks-and-creams,"Health Star Rating, Health Star Rating 1.5",en:health-star-rating|en:health-star-rating-1-5,en:au,e,,,886.0,4.6,1.8,21.2,18.3,1.0,0.0,0.08,0.032,886.0,0.0020316027088036117,plant-based-foods-and-beverages
1.5,9339687211654,Raspberry and white chocolate loaded muffin,Woolworths,,,"Health Star Rating, Health Star Rating 1.5",en:health-star-rating|en:health-star-rating-1-5,en:au,unknown,,,1550.0,46.0,26.083333333333,18.083333333333,5.8333333333333,5.0833333333333,1.5833333333333,0.64791666666667,0.259166666666668,1550.0,0.0168279569892471,
1.5,9339687156474,Ham,,,,"Health Star Rating, Health Star Rating 1.5",en:health-star-rating|en:health-star-rating-1-5,en:au,unknown,4.0,,797.0,2.7058823529412,1.1764705882353,12.705882352941,6.4705882352941,16.470588235294,,1.9588235294118,0.78352941176472,797.0,0.0014761236991659974,
1.5,9300633181338,Corned beef,Woolworths,"Canned foods, Meats and their products, Meats, Canned meats, en:corned-beef",en:canned-foods|en:meats-and-their-products|en:meals|en:meats|en:meals-with-meat|en:beef-dishes|en:canned-meats|en:corned-beef,"No gluten,No artificial flavors,Health Star Rating,Health Star Rating 1.5,No artificial colors,No artificial colours or flavours,Good source of protein",en:no-gluten|en:no-artificial-flavors|en:health-star-rating|en:health-star-rating-1-5|en:no-artificial-colors|en:no-artificial-colours-or-flavours|en:good-source-of-protein,"Australia,New Zealand",d,3.0,,984.0,1.71,0.6,14.6,7.2,23.9,,1.83,0.734,984.0,0.0006097560975609756,canned-foods
